nid,uid,status,title,body,teaser,mp3_filename,mp3_filemime,mp3_filesize,mp3_status,mp3_timestamp,mp3_list,artiste,compositeur,taxonomy['tags']['3'],taxonomy['tags']['4']
771,3,1,Marthe,"<p>Arletty, conversation extraite du disque <em>Entretien avec Marc Laudelout</em>, 1982</p>","<p>Arletty, conversation extraite du disque <em>Entretien avec Marc Laudelout</em>, 1982</p>",Marthe.mp3,,0,1,1259263291,1,Employée de maison,NULL,quotidien,français
772,3,1,Les problèmes de la jeunesse,"<p>Daniel Balavoine, François Mitterrand, extrait du journal télévisé <em>Midi2</em> , Antenne 2, 1980</p>","<p>Daniel Balavoine, François Mitterrand, extrait du journal télévisé <em>Midi2</em> , Antenne 2, 1980</p>",les_problemes_de_la_jeunesse.mp3,audio/mpeg,8158634,1,1297238905,1,Daniel Balavoine,NULL,Télévision,français
773,3,1,My name is,"<p>Malcom X, extrait de l'émission de télévision <em>City Desk</em>, 1963</p>","<p>Malcom X, extrait de l'émission de télévision <em>City Desk</em>, 1963</p>",My_Name_Is.mp3,,0,1,1259263292,1,Malcom X,NULL,interview,anglais
774,3,1,Notre rôle,"<p>Aimé Césaire, extrait d'un discours au premier Congrès des écrivains et artistes noirs, La Sorbonne, 1956</p>","<p>Aimé Césaire, extrait d'un discours au premier Congrès des écrivains et artistes noirs, La Sorbonne, 1956</p>",notre_role_0.mp3,audio/mpeg,3042795,1,1297526822,1,Aimé Césaire,Joris Lacoste,Discours,français
775,3,1,Nous les travailleurs,"<p>Arlette Laguiller, extrait d'un message télévisé pour la campagne présidentielle, 1974</p>","<p>Arlette Laguiller, extrait d'un message télévisé pour la campagne présidentielle, 1974</p>",Nous_les_travailleurs.mp3,,0,1,1259263293,1,Arlette Laguiller,NULL,Discours,français
776,3,1,On nous déportait en masse,"<p>Jean-Paul Sartre, extrait d'une lecture de l'article <em>La République du silence</em>, 1944</p>","<p>Jean-Paul Sartre, extrait d'une lecture de l'article <em>La République du silence</em>, 1944</p>",On_nous_deportait_en_masse.mp3,,0,1,1259263294,1,Jean-Paul Sartre,NULL,lecture,français
777,3,1,How do you take their energy ?,"<p>Enfant possédé, extrait du disque <em>The Okkulte Stimmen, Recordings of unseen intelligences, 1905–2007</em></p>","<p>Enfant possédé, extrait du disque <em>The Okkulte Stimmen, Recordings of unseen intelligences, 1905–2007</em></p>",possessed_child_0.mp3,audio/mpeg,1013640,1,1297413776,1,Enfant,NULL,interview,anglais
778,3,1,Pour toutes les femmes de ce pays,"<p>Arlette Laguiller, message télévisé pour la campagne présidentielle, 1974</p>","<p>Arlette Laguiller, message télévisé pour la campagne présidentielle, 1974</p>",Pour_toutes_les_femmes_de_ce_pays.mp3,,0,1,1259263296,1,Arlette Laguiller,NULL,Discours,français
779,3,1,Prêcheur,"<p>Prêche d'un prêtre enfant, extrait d'une vidéo postée sur YouTube</p>","<p>Prêche d'un prêtre enfant, extrait d'une vidéo postée sur YouTube</p>",Precheur.mp3,,0,1,1259263296,1,Enfant,NULL,Rituel,espagnol
780,3,1,Le Seigneur est vraiment intéressé à vous,<p>Extrait d'une émission de radio québecoise (source inconnue)</p>,<p>Extrait d'une émission de radio québecoise (source inconnue)</p>,Priere.mp3,,0,1,1259263297,1,Animateur,NULL,Radio,français
